,No,Incoming Date,Section,Part,Part2,Vendor,Size,APN,CPN,"DRP
Rev",A-Rev,Rev,DC,LC,"Incoming
Qty","Inspection
Date",CosmetICMR Inspection,Unnamed: 17,Unnamed: 18,Unnamed: 19,Function Inspection,Unnamed: 21,Unnamed: 22,Unnamed: 23,Dimension Inspection,Unnamed: 25,Unnamed: 26,Unnamed: 27,"Inspetion
Result",Part.1,Remark
0,,,,,,,,,,,,,,,,,"Inspected
Qty","Pass
Qty","NG
Qty",F/R,"Inspected
Qty","Pass
Qty","NG
Qty",F/R,Inspected Qty,"Pass
Qty","NG
Qty",F/R,,,
1,1.0,2025-06-04,Ramp,BOARD,MGM,MT,SAMSUNG,820-03817,ZE0049190AW,,,1,2051.0,N54L57010041,10000.0,2025-06-04,5000,5000,0,0,,,0,0,32,32,0,0,ACC,DedICMRate,
2,2.0,2025-06-04,Ramp,ICMR,MGM,QORVO,CMN,353S01807,ZE004943AAW,,,A,2515.0,T253008K,10000.0,2025-06-04,10000,10000,0,0,,,0,0,5,5,0,0,ACC,CMN,
3,3.0,2025-06-04,Ramp,ATTACHMENT,MGM,CELLO,SAMSUNG,821-05390,ZE0048980AW,,,2,2125.0,18270302A,6000.0,2025-06-04,5000,5000,0,0,5000,5000,0,0,32,32,0,0,ACC,DedICMRate,
4,4.0,2025-06-04,Ramp,ATTACHMENT,MGM,CELLO,SM,821-05389,ZE0049460AW,,,2,2225.0,18270262BA,7642.0,2025-06-04,5000,5000,0,0,5000,5000,0,0,32,32,0,0,ACC,DedICMRate,
5,5.0,2025-06-05,Ramp,BOARD,MGM,MT,SM,820-03819,ZE0049200AW,,,1,1925.0,5RED,15648.0,2025-06-05,5000,5000,0,0,,,0,0,32,32,0,0,ACC,DedICMRate,
6,6.0,2025-06-05,Ramp,SPCB,MGM,YAKI,CMN,820-03467,ZE0049380AW,,,,2025.0,H504020215-1,53515.0,2025-06-05,10000,10000,0,0,10000,10000,0,0,32,32,0,0,ACC,CMN,
7,7.0,2025-06-06,Ramp,RCI,MGM,TAPER,CMN,131S00530,ZE004928AAW,,,,20250522.0,1A5219V94,255000.0,2025-06-06,10000,10000,0,0,5,5,0,0,5,5,0,0,ACC,CMN,
8,8.0,2025-06-06,Ramp,RCI,MGM,TAPER,CMN,138S00008,ZE004930AAW,,,,20250520.0,FF5419EP9,15000.0,2025-06-06,10000,10000,0,0,5,5,0,0,5,5,0,0,ACC,CMN,
9,9.0,2025-06-06,Ramp,RCI,MGM,TAPER,CMN,132S0296,Z132S0296FW,,,,20250520.0,FF5415EY9,140000.0,2025-06-06,10000,10000,0,0,,,0,0,32,32,0,0,ACC,CMN,
10,10.0,2025-06-06,Ramp,RCI,MGM,TAPER,CMN,131S00517,ZE004931AAW,,,,20250523.0,1A5403JX1,1000000.0,2025-06-06,10000,10000,0,0,5,5,0,0,5,5,0,0,ACC,CMN,
11,11.0,2025-06-06,Ramp,RCI,MGM,TAPER,CMN,131S00461,ZE004932AAW,,,,20250523.0,1A5408JF3,260000.0,2025-06-06,10000,10000,0,0,,,0,0,32,32,0,0,ACC,CMN,
12,12.0,2025-06-06,Ramp,RCI,MGM,TAPER,CMN,131S00734,ZE004929AAW,,,,20250523.0,1A5318UG5,105000.0,2025-06-06,10000,10000,0,0,,,0,0,32,32,0,0,ACC,CMN,
13,13.0,2025-06-06,Ramp,RCI,MGM,TAPER,CMN,138S00412,ZE004971AAW,,,,20250520.0,FF5410GY2,460000.0,2025-06-06,10000,10000,0,0,,,0,0,32,32,0,0,ACC,CMN,
14,14.0,2025-06-06,Ramp,RCI,MGM,TAPER,CMN,155S00208,ZE004934AAW,,,,202500522.0,YF5319059,1000000.0,2025-06-06,10000,10000,0,0,,,0,0,32,32,0,0,ACC,CMN,
15,15.0,2025-06-06,Ramp,RCI,MGM,TAPER,CMN,107S00073,ZE004939AAW,,,,20250523.0,YB5318N15,200000.0,2025-06-06,10000,10000,0,0,,,0,0,32,32,0,0,ACC,CMN,
16,17.0,2025-06-06,Ramp,TAPE,MGM,YOKA,CMN,946-35844,ZM0105940AW,,,,20250429.0,571374Y,35100.0,2025-06-06,10000,10000,0,0,,,0,0,32,32,0,0,ACC,CMN,
17,18.0,2025-06-06,Ramp,TAPE,MGM,YOKA,CMN,946-35843,ZM0105950AW,,,,20250520.0,574300Y,34000.0,2025-06-06,10000,10000,0,0,,,0,0,32,32,0,0,ACC,CMN,
18,19.0,2025-06-06,Ramp,TAPE,MGM,YOKA,CMN,946-19307,ZM010627BAW,,,,20250510.0,574273Y,59700.0,2025-06-06,10000,10000,0,0,,,0,0,32,32,0,0,ACC,CMN,
19,20.0,2025-06-06,Ramp,TAPE,MGM,YOKA,CMN,946-19275,ZM010628BAW,,,,20250517.0,574272Y,36200.0,2025-06-06,10000,10000,0,0,,,0,0,32,32,0,0,ACC,CMN,
20,21.0,2025-06-06,Ramp,BOARD,MGM,MT,SAMSUNG,820-03817,ZE0049190AW,,,1,2025.0,5REE,13336.0,2025-06-06,315,315,0,0,,,0,0,32,32,0,0,ACC,DedICMRate,
